content,score,at
☜♡☞┣┓Love┏♨❤♨┑You┏┥,5,2025-07-18 13:38:46
çok az muzik var ve buyuk bir şirketsiniz daha iyi şeyler yapın muzikler genelikle 80 lerden kalma yenilikçi değil onun yerine spotify daha iyi,3,2025-07-17 19:44:14
5 yildizi yukari ciksin diye verdim aslinda evet güzel gerçekten güzel ama playlistime ekledigim bazı şarkılar cevrimdisi dinlemek için yuklenmiyor küfür tarzı şeyler olmadigi surece ben para da ödedim guncelleyip guncellemedigimi de kontrol ettim ama hiçbir sekilde uygulamanin seçtiği o şarkılar cevrimdisi dinlenmiyor lütfen yardimci olun,5,2025-07-17 16:44:40
"Android Auto geliştirilmeli müzik arama butonu yok, sesli arama yok, arayüz YouTube müzik programından klonlanmış gibi, Apple firmasına yakışmayan bir durum",1,2025-07-17 09:16:00
optimizasyon sorunlari var,3,2025-07-14 16:08:18
Huge price increase! unfortunality i will cancel,1,2025-07-14 01:38:45
sarkılar çok geç baslıyor yada kendliğinden duruyor mesela sonlara doğru sarkının bitme nakaratı kısmında yenisi baslıyor karısıyor sesler androidde zaten rezalet çalısıyor madem sadece apple cihazlarda düzgün çalısıcak neden play storeye koydunuz,1,2025-07-13 19:26:45
arşivden sildiğim şarkılar geri geliyor yada arşive kendi kendine şarkı ekliyor,1,2025-07-13 11:48:09
Apple music iphoneda müzik indiriyor android de aynı müzik mevcut değil diyor,1,2025-07-12 10:26:15
"Önerileri kötü, kayda değer sayıda şarkı ekli değil. Ses kalitesi elbette iyi fakat tek başına yeterli değil.",3,2025-07-10 08:24:52
"spotify boykotunun hemen üstüne zam gelmesi düşündürüyor, eski abonelere en azından birkaç ay daha aynı fiyattan devam edebilirdi.",3,2025-07-09 01:13:46
5 Yıldız üste çıksın diye verdim yoksa 1 yıldız hak ediyor bu uygulama hesap açıyorum 2 gün sonra hesap kilitleniyor ne saçma bişey,4,2025-07-06 09:38:05
şarkıları listeye ekleyip sonra kendi kendine çıkarıyor kafayı yememek elde değil,3,2025-07-04 20:37:08
"ses kalitesi iyi, albüm dinlemek için mükemmel ancak android için biraz yavaş gibi ve bence interface'i daha geliştirilebilir.",4,2025-07-04 13:39:27
Spotify daha iyi,1,2025-06-29 16:48:39
mükemmel,5,2025-06-28 08:36:44
"watch, chromecast, tv, uygulaması yok. telefon uygulaması ise sorunlu. Rakibi her platformda en iyisini sunuyor.",2,2025-06-27 23:04:33
ses kalitesi açısından evet güzel fakat public playlist özelliği olmaması(varsa ben bulamadım)ve arayüzünün karmaşık olması beni içine çekemedi ayrıca playlist aktaramadım çünkü ios tabanlı herhangi bir cihaz kullanmıyorum hesabımın güncellenmesi lazımmış bu yüzdende ios 12+ bir cihaz istiyor abartılmış bir uygulama,1,2025-06-25 17:47:59
Almanızı tavsiye etmem çok kötü,1,2025-06-24 07:53:28
çöp,1,2025-06-24 01:12:40
haaa çok güzel,5,2025-06-23 17:27:19
uygulama sürekli atıyor 1 saat olmadı abonelik alalı ama iptal edeceğim 1 dakikaya kullanamadım bile,1,2025-06-23 14:20:50
sırf apple telefonun yok diye hesap doğrulanmıyor devam et butonu çalışmıyor tam bir saçmalık,1,2025-06-20 15:56:32
müzik programı güncelleme olmuyor,1,2025-06-20 15:44:35
kesinlikle çok iyi parasını kuruşa kuruşuna kadar hak eden bir uygulama düzenliyorum ; neden bu kadar fiyat arttı 60 TL ne aylık ne güzel önceden 40 TL ydi,5,2025-06-19 16:57:24
Ses kalitesi çok güzel beğendim ama biraz sıkıntı var uygulama ana menüde çöküyor bu çözülürse sevinirim,3,2025-06-18 17:55:08
Arkadaşlar ilk defa kullanacak olanlara ve yükleyecek olanlara söylüyorum parasız kesinlikle dinleyemeiyorsunuz zaten ilk indirdikten sonra açtığınız zaman direk kart bilgileri istiyor asla tavsiye etmiyorum ücretsiz falan değil indirmeyin 🤢🤢🤢,1,2025-06-18 03:16:57
"Kötü, Aradığım müziklerden hiçbiri yok Sizede tavsiye etmiyorum",1,2025-06-16 18:08:06
en iyisi Zenginlik Gösterkesi Daha ucuz,5,2025-06-16 10:46:36
lanet olsun hata veriyor aboneliğim var müzik dinleyemiyorum,1,2025-06-15 13:54:18
"sebepsiz yere hesabım ""güvenlik nedeniyle kilitlendi"" statüsünde. şifremi giriyorum ""kilidi açın"" diyor telefonuma kod göndermiyor, canlı desteğe bağlanamıyorum giriş yapamadığım için. Apple her zamanki gibi rezalet ve sinir bozucu",1,2025-06-13 20:12:43
24bit/48kHz için en iyisi...,5,2025-06-13 05:04:51
"been on an hiatus for a while and now my entire library is gone, I hate it",1,2025-06-12 19:08:27
e posta doğrulamadığı için hesap yaratamadım. E postama gelen kodları kabul etmiyor.,1,2025-06-11 23:20:26
Karaoke yok.,1,2025-06-11 13:47:45
it is great,5,2025-06-11 01:33:32
Android de bile olması harika iphone almaya gerek yok.,5,2025-06-10 22:29:58
Apple kendi kullanıcılarına uyguladığı dolandırıcılık sistemini android kullanıcılarınada yapmak istiyor ! uzak dur Apple android ücretsiz uygulama merkezidir ...,1,2025-06-10 19:38:21
yok dayı Android de düzgün çalışmıyor,1,2025-06-10 18:58:14
hep şeffaflığı ce berraklığı ile öne çıkan apple music platformunu denemek için bende satın aldım normal şartlarda premium yt music kullanıyorum evet spotify'a nazaran daha iyi bir ses kalitesi var ama ben bu platformun çok abartıldığını düşünüyorum ama yine de alınabilecek bir platform fiyatları performansına göre gayet makul seviyede,3,2025-06-10 00:55:38
bu uygulamayı yukledikten sonra kredi kartımdan haberim olmadan bir dünya para çekilmiş.Sakın yüklemeyin.Abdli dolandırıcılar dadandı kartıma,1,2025-06-10 00:33:16
Sharzmam ile tam müzik dinlemek için bu saçma uygulamaya ihtiyaç var ne kadar saçma,1,2025-06-07 07:54:09
"Aşırı derecede apple'a özgü olmuş. Android markette uygulamayı kullanıma sunup , google giriş yöntemini desteklememek çok garip. Android kullanıcısına apple hesabı açtırmaya zorluyor .. Deezer ile Flac kalitesinde müzik keyfine devam ediyorum.",3,2025-06-06 10:24:54
Apple'dan nefret ediyorum,1,2025-06-03 18:58:46
"basit kullanılabilir arayüz, uygun fiyat, iyi ses kalitesi daha ne olsun",5,2025-06-01 18:28:09
Bu bile çok 0 yıldız olsa sıfır veririm abone olmadan çalışmıyor.,1,2025-06-01 13:21:32
yt music kullanmayanlar bu uygulamayı övmüş lakin birde yt music kullanıp öyle yorum yapın ses kalitesi ve ses şiddeti(özellikle bass) daha farkedilir bir seviyede yani yt music varken üstelik yt premium aldığınızda hem yt hemde yt music'i premium olarak kullanabildiğinizi hatırlatmak ister bu konuya da açıklık getirmek isterim bence yt music varken bu kullanılmaz piyasanın en iyisi tecrübelerime sizde ortak olun istiyorum teşekkürler...ha birde spotify'la kıyaslamaya bile gerek yok :),2,2025-06-01 01:33:02
kötü,2,2025-05-31 11:13:47
uygun fiyatlı alı,5,2025-05-30 23:31:19
Yorumum yok iyi değil,1,2025-05-30 10:30:44
her güncelleme daha da güzelleştiriyor,5,2025-05-29 23:47:13
Varya tek kelime ile mükemmel Spotify da neymiş ıyy,5,2025-05-27 21:39:51
Mükemmel müzik ziyafeti.,5,2025-05-26 15:47:18
Slow and clunky interface.,3,2025-05-26 10:20:15
Müzik aramalarında en azından öneri olarak bir şeyler gösterilse. Parçanın ismini tam yazmadan bulamıyorsunuz aradığınızı. Ses kalitesi icin kullanıyorum uygulamayı ama bazı konularda aratıyor Spotify'ı.,4,2025-05-25 02:59:43
24 bit 192 khz ses kalitesini sunuyor uygulama,5,2025-05-24 22:36:35
EFSANE,5,2025-05-24 10:58:51
Sansürsüz şarkı dineleyemiyorum. ve kapatma ayarı da yok,1,2025-05-21 23:54:50
