yorum,konu,sentiment,sentiment_score,duygu
☜♡☞┣┓Love┏♨❤♨┑You┏┥,aşk/ilişki,pozitif,90,mutluluk
çok az muzik var ve buyuk bir şirketsiniz daha iyi şeyler yapın muzikler genelikle 80 lerden kalma yenilikçi değil onun yerine spotify daha iyi,içerik,negatif,20,hayal kırıklığı
5 yildizi yukari ciksin diye verdim aslinda evet güzel gerçekten güzel ama playlistime ekledigim bazı şarkılar cevrimdisi dinlemek için yuklenmiyor küfür tarzı şeyler olmadigi surece ben para da ödedim guncelleyip guncellemedigimi de kontrol ettim ama hiçbir sekilde uygulamanin seçtiği o şarkılar cevrimdisi dinlenmiyor lütfen yardimci olun,performans/arayüz/fiyat,negatif,30,hayal kırıklığı
"Android Auto geliştirilmeli müzik arama butonu yok, sesli arama yok, arayüz YouTube müzik programından klonlanmış gibi, Apple firmasına yakışmayan bir durum",arayüz,negatif,30,hayal kırıklığı
optimizasyon sorunlari var,performans,negatif,20,hayal kırıklığı
Huge price increase! unfortunality i will cancel,fiyat,negatif,10,üzüntü
sarkılar çok geç baslıyor yada kendliğinden duruyor mesela sonlara doğru sarkının bitme nakaratı kısmında yenisi baslıyor karısıyor sesler androidde zaten rezalet çalısıyor madem sadece apple cihazlarda düzgün çalısıcak neden play storeye koydunuz,performans/arayüz/fiyat/içerik,negatif,20,hayal kırıklığı
arşivden sildiğim şarkılar geri geliyor yada arşive kendi kendine şarkı ekliyor,arşiv,negatif,30,hayal kırıklığı
Apple music iphoneda müzik indiriyor android de aynı müzik mevcut değil diyor,performans/arayüz,negatif,20,hayal kırıklığı
"Önerileri kötü, kayda değer sayıda şarkı ekli değil. Ses kalitesi elbette iyi fakat tek başına yeterli değil.",performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,30,hayal kırıklığı
"spotify boykotunun hemen üstüne zam gelmesi düşündürüyor, eski abonelere en azından birkaç ay daha aynı fiyattan devam edebilirdi.",fiyat,negatif,60,hayal kırıklığı
5 Yıldız üste çıksın diye verdim yoksa 1 yıldız hak ediyor bu uygulama hesap açıyorum 2 gün sonra hesap kilitleniyor ne saçma bişey,performans,negatif,20,hayal kirikligi
şarkıları listeye ekleyip sonra kendi kendine çıkarıyor kafayı yememek elde değil,performans,negatif,20,hayal kırıklığı
"ses kalitesi iyi, albüm dinlemek için mükemmel ancak android için biraz yavaş gibi ve bence interface'i daha geliştirilebilir.",performans/arayüz,nötr,50,beklenti
Spotify daha iyi,performans,pozitif,80,mutluluk
mükemmel,performans,pozitif,100,mutluluk
"watch, chromecast, tv, uygulaması yok. telefon uygulaması ise sorunlu. Rakibi her platformda en iyisini sunuyor.",performans/arayüz/fiyat/içerik,negatif,20,hayal kırıklığı
ses kalitesi açısından evet güzel fakat public playlist özelliği olmaması(varsa ben bulamadım)ve arayüzünün karmaşık olması beni içine çekemedi ayrıca playlist aktaramadım çünkü ios tabanlı herhangi bir cihaz kullanmıyorum hesabımın güncellenmesi lazımmış bu yüzdende ios 12+ bir cihaz istiyor abartılmış bir uygulama,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,30,hayal kırıklığı
Almanızı tavsiye etmem çok kötü,ürün/hizmet,negatif,10,hayal kırıklığı
çöp,arayüz,negatif,10,öfke
haaa çok güzel,performans,pozitif,80,mutluluk
uygulama sürekli atıyor 1 saat olmadı abonelik alalı ama iptal edeceğim 1 dakikaya kullanamadım bile,performans,negatif,10,hayal kırıklığı
sırf apple telefonun yok diye hesap doğrulanmıyor devam et butonu çalışmıyor tam bir saçmalık,arayüz,negatif,70,öfke
müzik programı güncelleme olmuyor,performans,negatif,20,hayal kırıklığı
kesinlikle çok iyi parasını kuruşa kuruşuna kadar hak eden bir uygulama düzenliyorum ; neden bu kadar fiyat arttı 60 TL ne aylık ne güzel önceden 40 TL ydi,fiyat,negatif,30,hayal kırıklığı
Ses kalitesi çok güzel beğendim ama biraz sıkıntı var uygulama ana menüde çöküyor bu çözülürse sevinirim,performans/arayüz,pozitif,70,mutluluk
Arkadaşlar ilk defa kullanacak olanlara ve yükleyecek olanlara söylüyorum parasız kesinlikle dinleyemeiyorsunuz zaten ilk indirdikten sonra açtığınız zaman direk kart bilgileri istiyor asla tavsiye etmiyorum ücretsiz falan değil indirmeyin 🤢🤢🤢,uygulama,negatif,10,tiksinti
"Kötü, Aradığım müziklerden hiçbiri yok Sizede tavsiye etmiyorum",içerik,negatif,10,hayal kırıklığı
en iyisi Zenginlik Gösterkesi Daha ucuz,fiyat,pozitif,80,mutluluk
lanet olsun hata veriyor aboneliğim var müzik dinleyemiyorum,performans/arayüz/fiyat/içerik,negatif,20,"öfke, hayal kırıklığı"
"sebepsiz yere hesabım ""güvenlik nedeniyle kilitlendi"" statüsünde. şifremi giriyorum ""kilidi açın"" diyor telefonuma kod göndermiyor, canlı desteğe bağlanamıyorum giriş yapamadığım için. Apple her zamanki gibi rezalet ve sinir bozucu",arayüz,negatif,80,sinir bozucu
24bit/48kHz için en iyisi...,performans,pozitif,80,mutluluk
"been on an hiatus for a while and now my entire library is gone, I hate it",arşiv,negatif,10,"öfke, hayal kırıklığı"
e posta doğrulamadığı için hesap yaratamadım. E postama gelen kodları kabul etmiyor.,arayüz,negatif,20,hayal kırıklığı
Karaoke yok.,performans,negatif,20,hayal kırıklığı
it is great,performans,pozitif,90,mutluluk
Android de bile olması harika iphone almaya gerek yok.,cihaz/kullanıcı deneyimi,pozitif,85,mutluluk
Apple kendi kullanıcılarına uyguladığı dolandırıcılık sistemini android kullanıcılarınada yapmak istiyor ! uzak dur Apple android ücretsiz uygulama merkezidir ...,reklam,negatif,80,"öfke, hayal kırıklığı"
yok dayı Android de düzgün çalışmıyor,performans,negatif,20,hayal kırıklığı
hep şeffaflığı ce berraklığı ile öne çıkan apple music platformunu denemek için bende satın aldım normal şartlarda premium yt music kullanıyorum evet spotify'a nazaran daha iyi bir ses kalitesi var ama ben bu platformun çok abartıldığını düşünüyorum ama yine de alınabilecek bir platform fiyatları performansına göre gayet makul seviyede,performans,nötr,50,nötr
bu uygulamayı yukledikten sonra kredi kartımdan haberim olmadan bir dünya para çekilmiş.Sakın yüklemeyin.Abdli dolandırıcılar dadandı kartıma,fiyat,negatif,10,"öfke, hayal kırıklığı"
Sharzmam ile tam müzik dinlemek için bu saçma uygulamaya ihtiyaç var ne kadar saçma,uygulama,negatif,20,hayal kırıklığı
"Aşırı derecede apple'a özgü olmuş. Android markette uygulamayı kullanıma sunup , google giriş yöntemini desteklememek çok garip. Android kullanıcısına apple hesabı açtırmaya zorluyor .. Deezer ile Flac kalitesinde müzik keyfine devam ediyorum.",arayüz,negatif,20,hayal kırıklığı
Apple'dan nefret ediyorum,fiyat,negatif,10,nefret
"basit kullanılabilir arayüz, uygun fiyat, iyi ses kalitesi daha ne olsun",arayüz/fiyat/ses kalitesi,pozitif,90,mutluluk
Bu bile çok 0 yıldız olsa sıfır veririm abone olmadan çalışmıyor.,performans,negatif,10,hayal kırıklığı
yt music kullanmayanlar bu uygulamayı övmüş lakin birde yt music kullanıp öyle yorum yapın ses kalitesi ve ses şiddeti(özellikle bass) daha farkedilir bir seviyede yani yt music varken üstelik yt premium aldığınızda hem yt hemde yt music'i premium olarak kullanabildiğinizi hatırlatmak ister bu konuya da açıklık getirmek isterim bence yt music varken bu kullanılmaz piyasanın en iyisi tecrübelerime sizde ortak olun istiyorum teşekkürler...ha birde spotify'la kıyaslamaya bile gerek yok :),performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,hayal kırıklığı
kötü,genel,negatif,0,üzüntü
uygun fiyatlı alı,fiyat,pozitif,80,mutluluk
Yorumum yok iyi değil,performans,negatif,20,hayal kırıklığı
her güncelleme daha da güzelleştiriyor,performans/arayüz,pozitif,90,mutluluk
Varya tek kelime ile mükemmel Spotify da neymiş ıyy,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
Mükemmel müzik ziyafeti.,performans,pozitif,90,mutluluk
Slow and clunky interface.,arayüz,negatif,20,hayal kırıklığı
Müzik aramalarında en azından öneri olarak bir şeyler gösterilse. Parçanın ismini tam yazmadan bulamıyorsunuz aradığınızı. Ses kalitesi icin kullanıyorum uygulamayı ama bazı konularda aratıyor Spotify'ı.,arayüz,negatif,30,hayal kırıklığı
24 bit 192 khz ses kalitesini sunuyor uygulama,performans,pozitif,80,mutluluk
EFSANE,performans,pozitif,100,mutluluk
Sansürsüz şarkı dineleyemiyorum. ve kapatma ayarı da yok,içerik,negatif,30,hayal kırıklığı
maalesef severek kullandığım bu uygulamayı birdaha kullanmayacam yeni hesap oluşturamıyorum kod göndermesi için verdiğim e mail adresine kod göndermiyor uygulamada sorun var lütfen bunu düzeltin yoksa kimse bu uygulamayı kullanamaz,arayüz,negatif,20,hayal kirikligi
yaw kocaman şirketsiniz şunu biraz daha tanıtın car curt yapın da global bir uygulama olsun tamam 10 veya 100 lira daha fazla al lan ama şu uygulamayı düzelt ses kalitesi yt music ve spoty den yüzde yüz daha iyi zaten genel uygulama kalitesi olarak spoty alır ama spotide şarkı çesitliliği yok music ve Apple kolayca bu konuda alır ama ses kalitesi dedinmi Apple sever atar ayrıca enayi gibi 100 lira vermeyin şu yt music veya spotiye boş uygulamalar ikiside sonuç olarak Apple hem ses hemde çeşitl,performans/arayüz/fiyat/içerik,negatif,20,öfke
wearos destegi gelsin artık,performans/arayüz,pozitif,70,beklenti
Herşeyde ücretli olmaz be apple,fiyat,negatif,70,hayal kırıklığı
iPhone si olmuyanlar niye kullanımı yok. 😡😡😡😡😡,teknoloji/telefon,negatif,90,öfke
Cihazlar arası senkronizasyonun geliştirilmesi gerek,performans,pozitif,70,beklenti
Yavaş. Gerçekten bir şarkı çok geç yükleniyor daha yavaştı güncelleme ile biraz hızlanmış ama hala diğer rakipleriyle kıyaslayınca geç açılıyor müzik. Ayrıca diğer insanları takip edemiyoruz takip sistemi de gelmeli bence. Arayüz de biraz daha basit olabilir yani kim radyo dinliyor ki de ortaya onu koymuşlar? Bunun dışında ses kalitesi> diğer tüm müzik uygulamaları. Not: bir de uzamsal sesteki şarkıların kalitesi dünyadan uzaklaştırıyor gibi oluyor o kadar iyi,performans/arayüz,negatif,30,hayal kırıklığı
çok kötü bir uygulama öne çıksın diye 5 yıldız verdim.Kayıt olamıyorum 2 saat bekletiyo aşşırı kötü,performans/arayüz,negatif,10,"hayal kırıklığı, öfke"
"Spotify'a göre ses kalitesi yüksek, fiyatı uygun. Fakat öneri algoritması ve keşfet radyosu/listesi sağlıklı değil. Genel olarak memnunum.",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,70,mutluluk
acayip iyi her şekil premium hissi veriyor Spotifydan kat ve kat daha iyi,performans,pozitif,90,mutluluk
24 Bit 192 KHZ kadar ses kalitesi sunuyor program Spotify den daha iyi ve dezer den,performans,pozitif,90,mutluluk
mükemmel,performans,pozitif,100,mutluluk
güzel,genel,pozitif,80,mutluluk
ses kalitesi acisinden Spotify dan kat ve kat daha iyi ama arayüz konusunda biraz daha sadelige gidilebilir 1 yıldız bu yüzden kırdım,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,hayal kırıklığı
+Artıları: Youtube müziğe göre daha dengeli sesi var -Eksileri: Sesi biraz daha az,performans,pozitif,70,memnuniyet
Spotify den daha iyi ses kalitesi arayüzüz ortalama ama çok güzel spotife verdiğinize yazık 32 tl uygun daha iyi bence,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
çok iyi,performans,pozitif,90,mutluluk
