content,score,at
üyelik istememesi çok güzel birşey emeğinize sağlık 🤗,5,2025-07-09 14:19:15
Reklamlarında İnternetsiz diyor ama uygulamada İnterneti kapatınca çevrimdışısınız diyor ve müzikleri dinleyemiyoruz,4,2025-07-09 08:59:00
çok güzel bir içerik istediğiniz şarkıyı dinliyorsunuz,5,2025-07-08 22:49:53
Kötü bir uygulama. İnternette bağlı olmama rağmen donuyor ses kesiliyor.,1,2025-07-08 22:12:00
dinlemek istediğim bir şarkıya tıklıyorum başka bir şarkı çalıyor premium satın al diye pencere açılıyor ya premium satın alacaksın ya da benzer bir şarkıyı dinleyeceksin diyor istediğim şarkıyı dinleyemedikten sonra ne halta yarar boşa yüklemeyin,1,2025-07-08 20:12:05
çok güzel,5,2025-07-08 16:36:24
Güzeldi ama istediğim şarkılarını orijinali yoktu. Başka versiyonları vardı.,4,2025-07-08 10:44:50
"fizy kulanmamanızı tavsiye ediyorum, abonelik almayın hiç iyi değil iptalde edemiyorsunuz.",1,2025-07-07 15:14:45
istediğim her şarkı ve türküyü dinleyebiliyorum.,5,2025-07-07 10:19:44
İnternetsiz dinlenmiyor reklamlarda internetsiz dinlenebilir diye gördüm ama olmuyor,3,2025-07-07 07:19:14
Spotify la aynı hiç sorunu yok hatta nerdeyse hiç reklam girmiyor çok güzel hiç sorun yok benim müzikte favori uygulamam,5,2025-07-07 01:02:17
gayet güzel iyi vakit geçirmek için ideal,5,2025-07-07 00:48:45
Uygulamada çalma listesine fotoğraf koymak istediğimde İşleminiz gerçekleştirilirken bir hata oluştu lütfen bizimle iletişime geçin diyor iletişime geçincede çözüm yok deniyor,1,2025-07-06 23:24:54
Arabada şarkı geçişleri sıkıntılı olmasa her şey daha güzel olabilirdi demiştim 2 ay önce destek ekibinin de. Önerdiği her birşeyi yaptım düzelmedi lsiteler iyi ses kalitesi ama fizyi sadece arabaa da açıp ikinci şarkıya geçişte ekran da yazmaması gerçekten sinirlerimi bozuyor kaç kere sildim iptal ettim başka programlar yapmıyor tek fizyde sorun ☹️☹️,5,2025-07-06 17:58:56
uygulama çok iyi teşekkürler 👏🏻🫶🏻,5,2025-07-06 14:08:18
çok güzel,5,2025-07-06 00:45:00
"sarkı mı, reklam mı dinliyoruz anlamıyorum. şarkı araları yetmezmiş gibi şarkıyı yarına kesip reklam yapma şeytanın bile aklına gelmezdi. tebrik ediyorum.",2,2025-07-05 19:08:59
aradığınız çoğu müzik yok güncelleme getirilmesi gerekiyor,1,2025-07-05 17:16:28
hiç sevmedim uygulama bana kafayı yedirti sadece rock your body dinlemek istemiştim.,1,2025-07-05 16:00:58
harika,5,2025-07-05 15:56:58
üyeliğimi iptal etmek istiyorum ama yapamadım yardımcı olur musunuz ?,1,2025-07-05 12:55:54
aradığım müziklerin hiç birisi yok çok saçma bi platform kullanışlıda değil tavsiye etmiyorum,1,2025-07-05 11:09:51
çok iyi bir uygulama ama imternetsiz,5,2025-07-05 08:53:59
👍,5,2025-07-05 01:12:50
üretsiz ve şifresizmi,1,2025-07-05 00:08:04
Güzel.Yıllardır kullanıyorum.,4,2025-07-04 22:27:12
Bu nasıl bir sagısızlıktır dinleyicinize karşı bir hakarettir .ŞARKININ ORTASINDA REKLAMIN AÇILMASI ŞAKAMISINIZ SİZ.,5,2025-07-04 17:53:06
