yorum,konu,sentiment,sentiment_score,duygu
neden sadece ogrenciler alanını universiteliler kapsiyor liseliler ogrenci degil mi ya cok sacma bir sey bence sadece universiteliler yararlaniyor e bizde ogrenciyiz,eğitim,negatif,60,"öfke, hayal kırıklığı"
bence en iyi mobil müzik çalan uygulama,performans,pozitif,90,mutluluk
çok iyi indirin indittirin❤️,performans,pozitif,90,mutluluk
Bazı kişiler Spotify ses kalitesiz diye eleştirmiş ses kalitesini siz ayarlayamamışsınız ses kalitesi harika,performans,pozitif,80,mutluluk
güzel bir uygulama fakat neden müzik dinlemek sınırlı ve her müzik bittikten sonra neden şu saçma ve uzun reklamı dinlemek zorundayım yani premium neden almamız için zorluyorsunuz bilin ki param olsa bile almayacağım,performans/arayüz/reklam,negatif,70,"hayal kırıklığı, öfke"
sohbet özelliği gelsinnnn,arayüz,pozitif,80,mutluluk
mukemmel tek kelime ile premium olmasa diyicem de her uygulamada var 🖤,performans/arayüz/fiyat,pozitif,90,mutluluk
çok kötü iki gün kullanmadım diye oturumu kapatıyo girmeye çalıştığımda kombinizasyon yanlış diyo defalarca kontrol yapıyorum yinede hesebıma giriş yapamıyorum sakın kullanmayın çok kötü,performans/arayüz,negatif,10,hayal kırıklığı
"Çok kullanışlı bir uygulama,program ama belli bir süre sonra premium kullanmazsam istediğim şarkıyı açmıyor.değiştirmeye çalışıyorum premium almazsan 6 kez değiştirebilirsin diyor eskiden yoktu bu özellik kapatılırsa sevinirim😄😉",fiyat,negatif,30,hayal kırıklığı
bir süre sonra para vermeyene küfür edecekler neredeyse en başta karışık çalma sonra akıllı mix yapıyorlar ve reklamlar 2 ye katlanıyor,fiyat/reklam,negatif,70,öfke
tek kelime ile muhteşem,performans,pozitif,90,mutluluk
iyi işte yükleyin,performans,pozitif,80,mutluluk
çok güzel bir uygulama bayıldım bazen reklam çıkıyor ama yinede güzel bence ben çok sevdim yemin ediyorum ki 5 puan verdim çok güzel uygulama.,uygulama/reklam,pozitif,90,mutluluk
çok gzl,performans,pozitif,80,mutluluk
iyimiş,performans,pozitif,80,mutluluk
bir müzik dinleme uygulasının sınırsız şarkı dinleme ozeligi kesinlikle olmalı,performans,pozitif,80,mutluluk
"zaten kayıtlı olan, aylardır bu şekilde otomatik ödeme yaptigim ve içinde para da olan kartımdan ücreti kesmeyip sonra da odemedigim gerekcesiyle premium hesabım iptal oldu. şimdi de denedigim hiçbir ödeme yöntemiyle tekrar hesabımı açamıyorum,ödeme yapamıyorum. ve iki gündür reklamda premium al diyor. vardı dostum. attınız ya beni. sayın bezmenler açar mısınız kapıyı efendim",ödeme/reklam,negatif,20,"hayal kırıklığı, öfke"
baya iyi oyun oynar Ken dinliyor um baya iyi,performans,pozitif,80,mutluluk
mükemmelll,performans,pozitif,90,mutluluk
"Premium abonelik alalım diye elinizden geleni yapıyorsunuz, her şeyi kısıtlamaya başladınız, uygulamayı kaldırırım olur biter, zaten reklamlardan kazanıyorsunuz.",fiyat/reklam,negatif,70,öfke
Yav şarkı seçmeyi neden premium yaparsın ki başka özellik mi bulamadınız premium yapacak sizin yapacağınız uygulamaya,fiyat,negatif,70,öfke
atlama sayısı sinirimi bozuyo,performans,negatif,20,öfke
Çok güzel uygulama,arayüz,pozitif,90,mutluluk
preminum özellikleri fazla onun dışında çok güzel bir uygulama,performans/arayüz/fiyat,pozitif,80,mutluluk
sürekli çöküyo şarkıları çalmıyo,performans,negatif,20,hayal kırıklığı
yazılan şarkı başka açılan başka nasıl uygulama anlamadım,uygulama,negatif,20,şaşkınlık
severek kullanıyorum,arayüz,pozitif,80,mutluluk
reklam her uygulamada olur istedigim bütün şarkılar var ve daha fazlası teşekkürler spotifiy♥️,reklam,pozitif,90,mutluluk
çok güzel,genel,pozitif,90,mutluluk
herşeyi premium yaparsanız hiç birşey dinleyemeyiz,fiyat,negatif,20,hayal kırıklığı
waiting for this apps downfall🙏(theyre money hungry),performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,80,"öfke, hayal kırıklığı"
uygulama güzel hoş tamam ama premium üyelik aldım aile paketi ve ilk ay ücretsiz dendi ilk günden itibaren de hwr ay çatır çatır ücret alıyorlar nasıl iş anlamadım,fiyat,negatif,70,hayal kirikligi
guzel sarkilar var ise yarayabilir ama aradigim sarkilarin cogunlugu yok ve resmen premium almamiz icin surekli reklam koyuyor 6 tane sarki atlama hakki veriyor bir sure sonra yarin tekrar istedigin sarkiyi dinleyebilirsin diyor yani resmen premium alalim diye zorluyor param yok belki alamiyorum hani nefret ettirdi eskiden boyle degildi iyice bozdu 2 yildizi bile hak etmiyor.,içerik/reklam,negatif,20,"öfke, hayal kırıklığı"
iyi güzel uygulama ama uygulamada şöyle bi sorun var: Başlangıçta preminyum almadan önce bana şarkı sözlerini erişmem için premimyum almamı istiyordu bende aldım ama şimdide şarkı sözlerini açtıktan sonra diğer şarkıya geçince şarkı sözleri kapanıyor şarkı kapağına gidiyor ve bu da çok sinir bozucu ben sözlerine bakarak bi andanda onu söylemek istiyorum dinlerken ama spoty yani siz buna izin vermiyorsunuz.,arayüz/fiyat,negatif,30,sinir bozucu
Seviyorum,duygu,pozitif,90,mutluluk
bu ara çok fazla reklam çıkıyor ve bazı şarkılarda şarkı sözleri yanlış bu düzeltilsin lütfen.,reklam/içerik,negatif,30,hayal kırıklığı
👍,performans,pozitif,90,mutluluk
👍👍👍👍,performans,pozitif,90,mutluluk
gerçekten mükemmel bir uygulama. bu pis cimriler uygulamaya para vermedikleri için şikayet ediyolar. siz onları aldırmayın. uygulama gerçekten çok kaliteli ve kullanışlı. yt music mi bu mu derseniz ben bu derim fakat bazı şarkılar spotify da yok eğer yine aynı kalite aynı fiyat istiyosanız yt music tercih edebilirsiniz.,uygulama,pozitif,90,mutluluk
Çok güzel,genel,pozitif,90,mutluluk
reklam çıkması dışında gayet güzel bir uygulama olduğunu düşünüyorum kullanmanızı tavsiye ederim,reklam,pozitif,80,mutluluk
çok reklam var fakat ben 2 aydır kullanıyorum ve premiumsuz da oluyor AMA LÜTFEN 6 TANE DEĞİŞTİRME HAKKINI ESKİ SÜRÜMLERDE DE KALDIRIN iyi günler,reklam,negatif,30,hayal kırıklığı
teşekkürler,genel,pozitif,80,mutluluk
"uygulama kapalı olunca da çalıyor YouTube'a girdiğinde kapanıyor kendisi nerede kapanacağını biliyor küfürlü arka müzikler geldiğinde onları çalmıyor fakat ismi gözüküyor bence herkes dinleyebilir, sevdiğimiz sanatçılara destek olmak istersek de seçenekler var takip edebiliyoruz beğenilen şarkılarda çok kullanışlı oynama listelerinde hangi müzikle hangi müzikleri gruplandırmak istiyorsak oynatma listelerine koyuyoruz istediğimiz kadar yapabiliyoruz benim bildiğim. kesinlikle 5 puan 5 puan 5puan",uygulama,pozitif,90,mutluluk
gayet iyi,performans,pozitif,80,mutluluk
GRUP YORUM ŞARKILARINI GERİ GETİRİN ARTIK YOKSA ÜYELİĞİMİ İPTAL EDERİM,içerik,negatif,10,hayal kırıklığı
son dönemde iyice bozdu premium üyelik için herşeyi yapıyorlar. her şarkı sonrası uzun reklam istediğin şarkıyı seçememe vb saçmalıklar uygulamayı silmeme az kaldı,arayüz/reklam,negatif,20,hayal kırıklığı
iyi,genel,pozitif,80,mutluluk
süper,performans,pozitif,90,mutluluk
müthiş bir uygulama severek kullanıyorum,performans,pozitif,90,mutluluk
reklam çok fazla,reklam,negatif,20,hayal kırıklığı
Harikasiniz,performans,pozitif,90,mutluluk
kısaca çok güzel süper,performans/arayüz,pozitif,80,mutluluk
çok iyi tek sözbu,performans,pozitif,90,mutluluk
gayet güzel sadece film müziklerinde eksiklikler var,içerik,nötr,50,nötr
cooookkk guzeeeellll,performans,pozitif,90,mutluluk
Bizim insanlar bedavaya alışmışlar. Premium çerez parası olmasına rağmen almıyorlar üstüne neden bedavaya istediğim kadar müzik çalamıyorum diyorlar bu tamamen cahillik. Bence uygulama mükemmel ben herhangi bi problem yaşamadım.(PREMİUM KULLANIYORUM). ücretsiz plan bence deneme için gayet iyi çok fazla müzik dinliyorsanız kesinlikle premium almanız gerek.,fiyat,pozitif,80,mutluluk
ŞARKI DİNLEMEYİ GİDEREK İMKANSİZ HALE GETİRİYORLAAR YUKLEMEYİNN BERBAAAT,performans,negatif,10,öfke
ben para yatırmak zorunda değilim. rezil bir uygulama. bu kadar ünü ve puanı da zerre hak etmiyor. eğer 0 puan olsaydı 0 puanda verirdim. ben myt den devam.,uygulama,negatif,10,"öfke, hayal kırıklığı"
severek kullanıyordum ama artık müzik değiştirdiğimde hiç bilmediğim parçalar çıkıyor nasıl düzelteceğim bilmiyorum kendi listemi dinleyemiyorum @spotify,performans,negatif,30,hayal kırıklığı
misss ✨️,sosyal medya,pozitif,80,mutluluk
"reklam çok çıkmakta bir müzik dinliyorum reklam ama onun dışında güzel 4,5 hakediyor 4,5 veremediğim için 4 dedim",reklam,nötr,50,ilgi
Olm bu adamlar ne yapmaya çalışıyor? abicim müzik seçme ve atlamayı premuim yapmak hangi zekinin fikriydi.,fiyat,negatif,70,öfke
"Bu uygulamayı indirmeyin, sırf premium almanız için ellerinden geleni yapıyorlar. Tavsiye etmem berbat bir uygulama!",uygulama,negatif,10,"hayal kırıklığı, öfke"
Rezil bir uygulama dakika başı reklam çıkıyor hadi neyse de şarkı seçme hakkı ne saçma şey para vermedim diye istediğim şarkıyı dinliyemiyorum uygulamayı kullanmanın mantığı kalmıyor acil duzeltmeleri lazım,arayüz/reklam/fiyat,negatif,20,"hayal kırıklığı, öfke"
harika uygulama,performans,pozitif,90,mutluluk
premium almadiginiz zaman tüm haklarınızı kısıtlıyorlar iğrenç bir şey bence bunu indirmek yerine daha güzel uygulamalar var onları indirin,fiyat,negatif,10,tiksinti
Giriş sağlıyamıyorum şifremi unuttum giremiyorum uygulamanıza seçenek sunmanız gerekli,arayüz,negatif,20,hayal kırıklığı
istediğim şarkıyı bile açamıyorum insana zorla premium aldırmaya çalışıyorlar,performans/arayüz/fiyat,negatif,20,"hayal kırıklığı, öfke"
sürekli reklam sürekli reklam premium da premium doğru dürüst şarkı dinliyemiyoruz,reklam,negatif,30,hayal kırıklığı
çokkk güzel bir uygulama,arayüz,pozitif,90,mutluluk
MÜKEMMEL,performans,pozitif,100,mutluluk
Süreklu premium alalım diye zorlamalarindan sıkıldım .Her hangi bir şarkıya tıkladığımda premium istiyor. Resmen bizi zorluyorlar ve spotify silip tekrar yüklemeniz gerekiyor şarkı dinlemeniz için değiştirin şunu çok kötü.,fiyat,negatif,20,hayal kırıklığı
premium almadan rahat bırakmıyor ama iyi,fiyat,pozitif,70,memnuniyet
paranız varsa mükemmel yoksa uğraşmayin değmez,fiyat,negatif,20,hayal kırıklığı
👍🏻,performans,pozitif,80,mutluluk
Gerçekten çok iyi premium da gerçekten çok iyi 1 aylık aldım ilk deneyimlik süperr büe uygulama tersini förmedim gönül rahatlığı ile yükleyebilirsiniz! Gönül rahatlığıyla öneriyorum... 😍,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Bedava kullanıyorum diye arttırsanız dahi reklamları sineye çekiyorum ama son güncellemeler sonrasında bir albümün dinlenmesini de kısıtladınız. Albümü sırasıyla da dinletmiyordunuz ama artık bir parça sonra benzer parça diye başka bir albüme/şarkıcıya ya da şarkıya atlatıyorsunuz. Tekrar albüme dönmek için uğraşıyorum. Bu hakikaten edepsizce bir ticari tutum.,reklam,negatif,70,"öfke, hayal kırıklığı"
bence cok guzwl bir uygulama,uygulama,pozitif,90,mutluluk
BU NE OLUM BU NE AGİZ TADİYLA MUZİK BİLE DİNLEYEMİYORUZ HER MUZİKTEN SKNRA REKLAM Mİ KONUR LAN Bİ DE İSTEDİGİMİZ SARKİYİ GECMİYOZ YADA SECEMİYOZ NE LAN BU NE yani Velhasıl kelam lütfen Kuzey Kore'de muzik dinliyom gibi hissetmek istemiyorum :),reklam,negatif,80,"öfke, hayal kırıklığı"
mükemmel,performans,pozitif,100,mutluluk
uygulama çok güzel ama Eğer çok fazla istediğimiz müziği atlarsak reklam çıkabiliyor ama eskisi daha güzeldi yani Ama yine de şimdi birazcık daha kötü,performans/reklam,negatif,30,hayal kırıklığı
uygulama çok güzel ama reklamlar çok ve çok az seçmevar ama çok güzel bir uygulama.,performans/arayüz/reklam,pozitif,80,mutluluk
güzel,genel,pozitif,80,mutluluk
çok teşekkür,teşekkür,pozitif,90,mutluluk
gayet güzel,performans,pozitif,80,mutluluk
AŞŞIRI GÜZELLL!,performans,pozitif,90,mutluluk
çok iyi,performans,pozitif,90,mutluluk
bence çok güzel ama internetsiz olsaydı daha güzel olurdu herkeze öneriyorumm!!,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
Rakipsiz en iyisi,performans,pozitif,90,mutluluk
Bence gayet iyi bir uygulama.Eğer bana bir şarkı uygulaması söyle deseler Spotify derdim,uygulama,pozitif,90,mutluluk
Her şey paralı 1 ay kullandım sonra istediğim müziği kullanamaz oldum Bu uygulamayı indirmeyin,fiyat/içerik,negatif,10,hayal kırıklığı
O kadar mükemmel ki şuan yorum yazacak değilim,performans,pozitif,90,mutluluk
gayet güzel bir uygulama öneriyorum,uygulama,pozitif,90,mutluluk
paran yoksa şarkı bile seçtirtmiyorlar,fiyat,negatif,20,hayal kırıklığı
çevrimdışı dinlemek için içerik indiriyorsun daha sonra uygulamaya güncelleme geliyor uygulamayı güncelledikten sonra indirdiğin çevrimdışı içeriklere bir daha ulaşamıyor ve tekrar çevrimiçi dinlemek zorunda kalıyorsun ya da tekrar tekrar aynı içerikleri telefonuna indirmeye devam ediyorsun,içerik,negatif,30,hayal kırıklığı
