content,score,at
neden sadece ogrenciler alanını universiteliler kapsiyor liseliler ogrenci degil mi ya cok sacma bir sey bence sadece universiteliler yararlaniyor e bizde ogrenciyiz,1,2025-07-03 04:32:11
bence en iyi mobil müzik çalan uygulama,5,2025-07-03 02:44:43
çok iyi indirin indittirin❤️,5,2025-07-03 01:45:57
Bazı kişiler Spotify ses kalitesiz diye eleştirmiş ses kalitesini siz ayarlayamamışsınız ses kalitesi harika,5,2025-07-03 01:06:02
güzel bir uygulama fakat neden müzik dinlemek sınırlı ve her müzik bittikten sonra neden şu saçma ve uzun reklamı dinlemek zorundayım yani premium neden almamız için zorluyorsunuz bilin ki param olsa bile almayacağım,3,2025-07-03 00:32:59
sohbet özelliği gelsinnnn,5,2025-07-02 23:09:20
mukemmel tek kelime ile premium olmasa diyicem de her uygulamada var 🖤,5,2025-07-02 23:05:18
çok kötü iki gün kullanmadım diye oturumu kapatıyo girmeye çalıştığımda kombinizasyon yanlış diyo defalarca kontrol yapıyorum yinede hesebıma giriş yapamıyorum sakın kullanmayın çok kötü,1,2025-07-02 22:37:01
"Çok kullanışlı bir uygulama,program ama belli bir süre sonra premium kullanmazsam istediğim şarkıyı açmıyor.değiştirmeye çalışıyorum premium almazsan 6 kez değiştirebilirsin diyor eskiden yoktu bu özellik kapatılırsa sevinirim😄😉",4,2025-07-02 22:16:05
bir süre sonra para vermeyene küfür edecekler neredeyse en başta karışık çalma sonra akıllı mix yapıyorlar ve reklamlar 2 ye katlanıyor,1,2025-07-02 21:25:39
tek kelime ile muhteşem,5,2025-07-02 21:11:08
iyi işte yükleyin,5,2025-07-02 20:35:29
çok güzel bir uygulama bayıldım bazen reklam çıkıyor ama yinede güzel bence ben çok sevdim yemin ediyorum ki 5 puan verdim çok güzel uygulama.,5,2025-07-02 20:19:07
çok gzl,5,2025-07-02 20:17:55
iyimiş,5,2025-07-02 20:05:52
bir müzik dinleme uygulasının sınırsız şarkı dinleme ozeligi kesinlikle olmalı,1,2025-07-02 20:05:35
"zaten kayıtlı olan, aylardır bu şekilde otomatik ödeme yaptigim ve içinde para da olan kartımdan ücreti kesmeyip sonra da odemedigim gerekcesiyle premium hesabım iptal oldu. şimdi de denedigim hiçbir ödeme yöntemiyle tekrar hesabımı açamıyorum,ödeme yapamıyorum. ve iki gündür reklamda premium al diyor. vardı dostum. attınız ya beni. sayın bezmenler açar mısınız kapıyı efendim",1,2025-07-02 19:57:25
baya iyi oyun oynar Ken dinliyor um baya iyi,5,2025-07-02 18:50:49
