content,score,at
iyi,5,2025-07-09 15:05:26
benim tarzım dışında öneri istemiyorum,4,2025-07-09 15:05:23
"great,super",5,2025-07-09 15:03:52
çok güzel bir uygulama bence,5,2025-07-09 13:05:49
cok guzel bir uygulama daha da gelistirimeli,5,2025-07-09 12:04:27
en son dinlenenler sekmesi ekler misiniz,4,2025-07-09 10:01:05
çok ama çok memnunuz ıstwdıgım her şey var,5,2025-07-09 06:16:48
Sevmiyorum...................... Sevemedim..............................,1,2025-07-08 23:57:42
daha önce tesbit etseydim dedim çok olsu,5,2025-07-08 19:26:48
Telefon ile senkronize çalışmıyor. Spotify'da telefonda şarkı açtığımızda saat uygulamasndan müziği yönetebiliyoruz ama YouTube Müzikte saat ve telefon uygulaması bağımsız çalışıyor.,1,2025-07-08 17:57:32
youtubeda dinlesem bişey fark etmez.uygulamadan çıkınca müzik çalmıyor.bu özellik çoğu uygulamada bedava iken youtubeda paralı.,3,2025-07-08 17:50:43
parayı veren düdüğü çalıyo işte,5,2025-07-08 16:35:06
ilk günden beri satın alıp kullanıyorum ama çocuk kilidimi açıldı ne oldu eşimde çıkan şarkılar bende çıkmıyor alizade sefı gibi isimlerin şarkıları kısıtlanmış,5,2025-07-08 16:23:05
cihazda ki dosyalar para ödememe rağmen aşırı geç açılıyor ya da açılmıyor donuyor uygulama,1,2025-07-08 16:05:55
süper ötesi bir uygulama ✋,5,2025-07-08 15:13:27
Spotify tarzinda olsa spotyden daha iyi bir uygulama remixler ve videoları indirebiliyoruz ama arkadaşlar ve takipçiler herkese açık profil olsa çok güzel olurdu,5,2025-07-08 14:10:52
uygulama güzel ben beğendim öneririm bu uygulama 100)68 ben beyendim yinede,4,2025-07-08 13:39:18
çok iyi ses kalitesi alabiliyorum,5,2025-07-08 11:33:47
YouTube hepsine yeter çünkü en önce YouTube vardı,5,2025-07-08 10:59:19
Mükemmel,5,2025-07-08 10:00:00
Spotify'a bin basar,5,2025-07-08 09:38:40
para vermeye pişman olmadığım tek uygulama,5,2025-07-08 07:32:43
"Spotify'dan Çok daha kaliteli ve iyi.Şarkıları ileri geri alabiliyorsun ama Spotify'da yapamıyorsun.Ama,Spotify ve Yt Music'i kıyaslarsak kesinlikle ama kesinlikle Yt Music çook daha iyi.🫶🏻",5,2025-07-08 06:57:45
Muhteşem tek kelimeyle. böyle bir hizmet bedava bu devirde.,5,2025-07-07 23:47:02
istediğim her tür müzik çeşidini rahatlıkla bulabiliyorum tşkler,5,2025-07-07 23:03:02
çok memnunum tam bır müzik ziyareti yaşıyorum.,5,2025-07-07 21:55:08
süper,5,2025-07-07 21:04:30
🥰🥰🥰,5,2025-07-07 19:26:23
"Spotify ile benzer bir uygulama, gerçekten çok güzel ve kullanımı kolay.",5,2025-07-07 15:31:02
Bu uygulamaları telefonumda görmek istemiyorum birde gömülü geliyor silemiyorsun da.,1,2025-07-07 15:23:58
çok güzel müzik dinlemeyi zaten severim bu uygulamayla daha keyifli,5,2025-07-07 14:09:29
Çok kötü,1,2025-07-07 14:09:09
çık iyiiii,5,2025-07-07 11:38:11
sorun yaşamadım hiç mükemmel,5,2025-07-07 11:35:02
Spotify'dan iyi,5,2025-07-07 11:11:14
çok memnunum,5,2025-07-07 10:23:23
Gayet güzel çok memnunum istediğim bütün müzikleri kesintisiz dinliyorum iyiki varsınız teşekkür ederim iyi çalışmalar dilerim,5,2025-07-07 10:15:06
super,5,2025-07-07 07:42:28
güzel,4,2025-07-07 04:49:30
İndirdiğin müziği dinlemek için para istiyor üstüne premiumu versen bile indirdiğin müziği dinleyemiyorsun maalesef çok eksiği var,1,2025-07-07 04:40:33
Diğer müzik uygulamalardan daha iyi ve daha büyük bi müzik kütüphanesine sahip klipleri ister izleyip ister izlememek bizim elimizde bu da güzel ama liste yaptıktan sonra galerimizden fotoğraf veya video koyabilsek daha güzel olur. En iyi müzik uygulamalarından biri kullanmalısınız Düzenleme 1; Önerimi dikkate aldığınız için sizden teşekkür ederim hatta daha fazla özellik eklemişler bayaa İyiii olmuş elinize sağlık iyi çalışmalar edit2:kitaplıkta sanatçı veya listeleri sabitleme olayı gelsin pls,5,2025-07-07 00:48:44
