yorum,konu,sentiment,sentiment_score,duygu
iyi,genel,pozitif,80,mutluluk
benim tarzım dışında öneri istemiyorum,öneri,negatif,20,hayal kırıklığı
"great,super",performans,pozitif,90,mutluluk
çok güzel bir uygulama bence,uygulama,pozitif,90,mutluluk
cok guzel bir uygulama daha da gelistirimeli,performans/arayüz,pozitif,90,mutluluk
en son dinlenenler sekmesi ekler misiniz,arayüz,pozitif,70,beklenti
çok ama çok memnunuz ıstwdıgım her şey var,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Sevmiyorum...................... Sevemedim..............................,içerik,negatif,10,hayal kırıklığı
daha önce tesbit etseydim dedim çok olsu,performans,nötr,50,hayal kırıklığı
Telefon ile senkronize çalışmıyor. Spotify'da telefonda şarkı açtığımızda saat uygulamasndan müziği yönetebiliyoruz ama YouTube Müzikte saat ve telefon uygulaması bağımsız çalışıyor.,performans/arayüz,negatif,30,hayal kırıklığı
youtubeda dinlesem bişey fark etmez.uygulamadan çıkınca müzik çalmıyor.bu özellik çoğu uygulamada bedava iken youtubeda paralı.,uygulama,negatif,20,hayal kırıklığı
parayı veren düdüğü çalıyo işte,fiyat,negatif,20,hayal kırıklığı
ilk günden beri satın alıp kullanıyorum ama çocuk kilidimi açıldı ne oldu eşimde çıkan şarkılar bende çıkmıyor alizade sefı gibi isimlerin şarkıları kısıtlanmış,ürün/uygulama,negatif,20,hayal kırıklığı
cihazda ki dosyalar para ödememe rağmen aşırı geç açılıyor ya da açılmıyor donuyor uygulama,performans,negatif,20,hayal kırıklığı
süper ötesi bir uygulama ✋,uygulama,pozitif,90,mutluluk
Spotify tarzinda olsa spotyden daha iyi bir uygulama remixler ve videoları indirebiliyoruz ama arkadaşlar ve takipçiler herkese açık profil olsa çok güzel olurdu,uygulama,pozitif,70,mutluluk
uygulama güzel ben beğendim öneririm bu uygulama 100)68 ben beyendim yinede,uygulama,pozitif,68,mutluluk
çok iyi ses kalitesi alabiliyorum,performans,pozitif,90,mutluluk
YouTube hepsine yeter çünkü en önce YouTube vardı,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
Mükemmel,performans,pozitif,90,mutluluk
Spotify'a bin basar,performans,pozitif,90,mutluluk
para vermeye pişman olmadığım tek uygulama,fiyat,pozitif,90,mutluluk
"Spotify'dan Çok daha kaliteli ve iyi.Şarkıları ileri geri alabiliyorsun ama Spotify'da yapamıyorsun.Ama,Spotify ve Yt Music'i kıyaslarsak kesinlikle ama kesinlikle Yt Music çook daha iyi.🫶🏻",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Muhteşem tek kelimeyle. böyle bir hizmet bedava bu devirde.,hizmet/fiyat,pozitif,90,mutluluk
istediğim her tür müzik çeşidini rahatlıkla bulabiliyorum tşkler,içerik,pozitif,90,mutluluk
çok memnunum tam bır müzik ziyareti yaşıyorum.,performans,pozitif,90,mutluluk
süper,performans,pozitif,90,mutluluk
🥰🥰🥰,performans,pozitif,90,mutluluk
"Spotify ile benzer bir uygulama, gerçekten çok güzel ve kullanımı kolay.",performans/arayüz,pozitif,90,mutluluk
Bu uygulamaları telefonumda görmek istemiyorum birde gömülü geliyor silemiyorsun da.,arayüz,negatif,20,hayal kırıklığı
çok güzel müzik dinlemeyi zaten severim bu uygulamayla daha keyifli,performans,pozitif,80,mutluluk
Çok kötü,genel,negatif,10,üzüntü
çık iyiiii,performans,pozitif,80,mutluluk
sorun yaşamadım hiç mükemmel,performans,pozitif,90,mutluluk
Spotify'dan iyi,performans,pozitif,80,mutluluk
çok memnunum,performans,pozitif,90,mutluluk
Gayet güzel çok memnunum istediğim bütün müzikleri kesintisiz dinliyorum iyiki varsınız teşekkür ederim iyi çalışmalar dilerim,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
super,performans,pozitif,90,mutluluk
güzel,genel,pozitif,80,mutluluk
İndirdiğin müziği dinlemek için para istiyor üstüne premiumu versen bile indirdiğin müziği dinleyemiyorsun maalesef çok eksiği var,fiyat/içerik,negatif,20,hayal kırıklığı
Diğer müzik uygulamalardan daha iyi ve daha büyük bi müzik kütüphanesine sahip klipleri ister izleyip ister izlememek bizim elimizde bu da güzel ama liste yaptıktan sonra galerimizden fotoğraf veya video koyabilsek daha güzel olur. En iyi müzik uygulamalarından biri kullanmalısınız Düzenleme 1; Önerimi dikkate aldığınız için sizden teşekkür ederim hatta daha fazla özellik eklemişler bayaa İyiii olmuş elinize sağlık iyi çalışmalar edit2:kitaplıkta sanatçı veya listeleri sabitleme olayı gelsin pls,performans/arayüz,pozitif,85,mutluluk
iyi,genel,pozitif,80,mutluluk
spotfy dan daha iyi aq👍🏻,performans,pozitif,80,mutluluk
Daha iyisi yok,performans,pozitif,90,mutluluk
inanılmaz çok güzel,performans,pozitif,90,mutluluk
çok memnunum hiç bir sıkıntı yaşamadım ve yaşamıyorum biraz müzik bulma konusunda geliştirilebilir..,performans/arayüz,pozitif,90,mutluluk
cokk iyi,performans,pozitif,90,mutluluk
güzel,genel,pozitif,80,mutluluk
en güzel müzik uygulaması bütün dinlediklerimi burdan dinliyorum çok mükemmel 🥰🥰🥰🥰🥰🥰😘😘😘😘😘😘😍😍😍😍😍🤩🤩🤩🥳🥳🥳🥳🥳🎧🎧🎧.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,95,mutluluk
para ödema iptal etmek,fiyat,negatif,20,hayal kırıklığı
müzik dinlediğim sırada ekranı kapatıyorum uygulamadan atıyor sebeb?,performans/arayüz,negatif,30,hayal kırıklığı
"arayüzünü seviyorum, spotify'dan daha iyi ayrıca spoti'de olmayan müziklerin olması çok iyi",arayüz,pozitif,90,mutluluk
her programla uyumlu tek müzik programı,performans,pozitif,80,mutluluk
mükemmel bir uygulama,performans,pozitif,90,mutluluk
en sevdiğim müzik uygulaması,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
kendi kendine uygulama kapanıyor,performans,negatif,20,hayal kırıklığı
Gerçekten mükemmel.,performans,pozitif,90,mutluluk
başarılı,performans,pozitif,90,mutluluk
mükemmel,performans,pozitif,100,mutluluk
başarılı,performans,pozitif,90,mutluluk
Allah Razı Olsun size,teşekkür,pozitif,90,mutluluk
cokkkk kötü 🔻🤡,performans,negatif,10,üzüntü
abi tek kelimeyle mukemmel yani he bide benim premiumum var ondan bana oyle geliyo da olabilir😋,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
guzel.,genel,pozitif,80,mutluluk
Çok iyi bir uygulama çok kolay öğreniliyor ve herkese kesinlikle tavsiye ederim.😝😅😚😇,performans/arayüz/fiyat,pozitif,90,mutluluk
bir kere internetsiz ortamda müzik dinlemek çok keyifli,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
oldukça kullanışlı🥰,arayüz,pozitif,90,mutluluk
automix özelliği gelse çok iyi olur apple music deki gibi zaten müzik kataloğu çok iyi efsane olur,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
YouTube music dinlediğim her sarkida her 15 saniyede bir duruyor buda beni cok rahatsiz ediyor sebebi ne olabilir,performans,negatif,30,rahatsızlık
Uzun yol dostu. son derece başarılı Long road friendly. extremely successful,performans,pozitif,90,mutluluk
muhteşem,performans,pozitif,90,mutluluk
👍👍👍👍,performans,pozitif,90,mutluluk
kesintisiz müzik ziyafeti harika,performans,pozitif,90,mutluluk
gayet güzel bir uygulama herkese tavsiye ediyorum ben çok memnunum,uygulama,pozitif,90,mutluluk
Spotify'dan sonra kullandığım en iyi müzik dinleme uygulaması bu müzik dinleme uygulamalarını seviyorsanız bu uygulamayı tavsiye ederim.,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
çok iyi,performans,pozitif,90,mutluluk
"istediğim bütün müzikleri kolaylıkla buluyorum, dilediğim listeleri yapıyorum, çok memnunum👏",performans/arayüz/içerik,pozitif,90,mutluluk
tek kelime ile MÜKEMMEL 💫✨,performans,pozitif,90,mutluluk
5 yildiz fakat daha cok gelişmesi gerek,performans,pozitif,70,beklenti
muazzam.,performans,pozitif,90,mutluluk
👍harika,performans,pozitif,90,mutluluk
Teşekkürler çok güzel saate çalışıyor sorunsuz,performans,pozitif,90,mutluluk
Süper,genel,pozitif,90,mutluluk
iyiy,performans,pozitif,80,mutluluk
baba valla iyi uygulama,uygulama,pozitif,90,mutluluk
super,performans,pozitif,90,mutluluk
iyi çok güzel,performans,pozitif,90,mutluluk
ses kalitesi ve aradığın müziği bulma süresi mükemmel tesekkürler you tube,performans/arayüz,pozitif,90,mutluluk
mükemmel👍👏😆,performans,pozitif,90,mutluluk
keşfettiğimden beri müzik dünyam zenginleşti tek bi sorunu var listeyi düzenliyorum kapatıp açınca liste eski haline dönüyor bu düzeltilmeli.,performans/arayüz,negatif,30,hayal kırıklığı
çok güzel.Tavsiye ederim..,performans,pozitif,90,mutluluk
arka pilanda müzik çalıyordu şimdi çalmıyor siliyorum uygulama para istiyor,performans,negatif,20,hayal kırıklığı
Amacı neyse en iyi şekilde hizmet eden bir uygulama.,performans,pozitif,90,mutluluk
spotifydan çok daha iyi kesinlikle,performans,pozitif,90,mutluluk
uygulama çok güzel beğendim bu uygulamayı yapan kişi kral dır,uygulama,pozitif,90,mutluluk
harika.kamera ile çekim yaparken çalsa super olur,performans,pozitif,90,mutluluk
çok iyi,performans,pozitif,90,mutluluk
istediğim gibi güzel uygulama,arayüz,pozitif,80,mutluluk
youtube üzerinden özelliğini bir videoyu tekrar ve tekrar izlemeni sağlıyor bot hesaplar almış başını gitmiş yt hesabım bilmediğim hint kanallarına abone oluyor yt music uygulaması bile çok kötü bir müzik klibine dislike attığın halde aynı müzikleri tekrsr ve tekrar sana gösteriyor ve premium aldığım halde hala reklam izlemeye devam ediyorum,arayüz/reklam,negatif,70,"hayal kırıklığı, öfke"
Önerilenler kısmı çok vasat yeni bir şey çıkarıyor daha önce dinlemediğim tarzda şeyler falan anlamsız,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,hayal kırıklığı
harika,performans,pozitif,90,mutluluk
uygulama genellikle iyi basit ve sade tasarımı olması güzel eksik yönlerini söyleyecek olursam sanatçı engelleme özelliğinin olmaması olsaydı daha iyi olurdu.,arayüz,pozitif,70,memnuniyet
hifi müzikleri seçme ayarları eklensin,performans,pozitif,80,mutluluk
güzel,genel,pozitif,80,mutluluk
arayüz çok yetersiz ve yüzeysel bence en azından şarkıları alfabetik sıralamak olmalı,arayüz,negatif,60,hayal kırıklığı
Müzik adına aradığım her şey var.,içerik,pozitif,90,mutluluk
süper tek kelimeyle,performans,pozitif,90,mutluluk
Ben tablet yeni aldım her şey oynayabiliyorum ama yani şimdi bunu nasıl açacağız hesap mı gireceğiz sadece bir tane video var,arayüz,nötr,50,şaşkınlık
çok iyi bir uygulama her kez e tavsiye ederim,performans,pozitif,90,mutluluk
Genel olarak güzel,genel,pozitif,70,mutluluk
bence gayet iyi,performans,pozitif,80,mutluluk
başarılı,performans,pozitif,90,mutluluk
